"Отметка времени","Соберём немного статистики. Анкета анонимная, нам нужен только возраст","Какие слова звучат смешно? ","Как Вам кажется, почему эти слова смешные? "
"2020/11/08 6:48:17 PM GMT+3","19-22","кастрюля щеколда половник ",""
"2020/11/08 6:49:19 PM GMT+3","16-18","жожоба Пржевальский шишки капитошка жижа пожёвывание","В некоторых из них есть повторяющиеся шипящие звуки "
"2020/11/08 6:50:32 PM GMT+3","19-22","будущее зарплата справедливость демократия равенство стипендия пенсия любовь взаимопомощь взаимоподдержка мир счастье ","Потому что они выдуманы лицемерами и лжецами."
"2020/11/08 6:51:35 PM GMT+3","19-22","доллар самоизоляция путин ","Смех сквозь слёзы "
"2020/11/08 6:53:43 PM GMT+3","19-22","блЕба гнида гнидка лупка квашня кабаса нурок ухлюпбебА ванючка пипа ПУК сыч зяблик хуек поганка щегОл","потому что их говорю я и вся моя семья!"
"2020/11/08 6:56:29 PM GMT+3","23-35","Сиреневенький пуцка ","Редко употребляют "
"2020/11/08 6:57:35 PM GMT+3","19-22","Пупа, биба","Фонетика"
"2020/11/08 6:58:06 PM GMT+3","19-22","Попандопало","Повторение слогов с одинаковой согласной и разными гласными "
"2020/11/08 6:58:20 PM GMT+3","19-22","Пчёльник посюсторонее кукух табуретка гласперленовый ","Некоторые смешные франкенштейны из морфем, удивительно точно попадающих в суть, посюсторонний неожиданный редкий брат-антоним к потустороннему, некоторые смешные из-за сочетания согласных (не знаю что в этом смешного) "
"2020/11/08 7:00:39 PM GMT+3","16-18","жрачка обалдуй обалдуйка ржака попадос плуг проталина рыло пахота ( + порабабану и вообще все выдуманные слова в которых меняются слоги внутри) (и разные необычные формы матных. я не знаю можно ли ругаться но пробл*душки смешно по-моему)","мне кажется слова смешные когда в них есть п р или л и особенно если они там сочетаются. вот в проталине аж все три есть и очень смешно"
"2020/11/08 7:04:29 PM GMT+3","19-22","бурдюк балда илья куропатки мармозетка балясина жбан бузить кафка","они смешно звучат"
"2020/11/08 7:05:27 PM GMT+3","23-35","барабулька выхухоль пхали ","При их произношении артикуляция схожая с той, что бывает при улыбке и смехе. Идёт обратная связь. "
"2020/11/08 7:10:38 PM GMT+3","23-35","пендель ляжка плюха","они хлюпкие какие-то"
"2020/11/08 7:12:49 PM GMT+3","23-35","Помпончик ","Фонетическая особенность"
"2020/11/08 7:17:38 PM GMT+3","16-18","кисик бубылда","из-за фонетических особенностей"
"2020/11/08 7:20:32 PM GMT+3","19-22","Ноты соль фа ми ре до попурри глиттер маньшипошки компот штурман Вилли ","Рот улыбается, когда произносит эти слова! А ноты смешные именно если их петь. Безудержно смешные "
"2020/11/08 7:22:03 PM GMT+3","19-22","Гваделупа пюпитр пипидастр ","Гваделупа смешное слово"
"2020/11/08 7:24:50 PM GMT+3","19-22","стэк какуля пугачиха пята карл (в значении карлик) ","меня смешат слова, звуковая оболочка которых, как мне кажется, по какому-либо признаку не соответствует денотату (?) это может быть обусловлено как фонетически (интуитивные представления о большом/маленьком, например, в связи со структурой слога), так и морфологически (например, всякие приставочные/суффиксальные наращения обычно свидетельствуют о наличии у слова каких-либо определяющих дп в отношении более крупных родовых (?) этимонов, поэтому когда денотат, предполагающий связь с какими-то специфическими дп, представлен какой-то однокорневой оболочкой, создаётся ощущение, что слово не по размеру денотату). однако есть и необъяснимые случаи, в которых ни фонетический, ни морфологический уровень, ни само означаемое не кажутся мне смешными (см. какашка). даже в графическом варианте такие слова меня не смешат, то есть видимо (?) можно говорить ещё и о ситуации произнесения (и памяти обо всех предыдущих). спасибо что послушали мой тедток!"
"2020/11/08 7:28:36 PM GMT+3","23-35","плюмбум","Оно булькает"
"2020/11/08 7:34:02 PM GMT+3","23-35","барабашка качуча черномырдин хрыч ","У них необычные слоги (?)"
"2020/11/08 7:34:38 PM GMT+3","19-22","кузница, карась, Зина, пипидастр, пегас, Краков ","Потому что"
"2020/11/08 7:35:19 PM GMT+3","19-22","шуршулькинс шебуршуля вантуз чулышман чирибикнуть(ся) черемша уконтропупить(ся) колдобиться кобриться надудонить крот пулька ","наверное, ввиду их звуковой организации: некоторые слоги (как по мне - с йотированными гласными ""я"" или ""ю"" в особенности) звучат смешно. а почему - не знаю.
возможно(?) играют роль некие субъективные ассоциации.."
"2020/11/08 7:38:52 PM GMT+3","16-18","чечётка лапоть клоака","Не знаю... Сочетание букв забавное?? "
"2020/11/08 7:40:10 PM GMT+3","16-18","смехоtouch биде чешка ","они смешные "
"2020/11/08 7:40:19 PM GMT+3","16-18","Леопардесса, директорка, фотографиня","Потому что фемки смешные "
"2020/11/08 7:44:42 PM GMT+3","19-22","Понюшка","Похоже на уменьшительно-ласкательное от «пони», хотя слово обозначает явление из совершенно другой сферы"
"2020/11/08 7:50:54 PM GMT+3","19-22","Финтифлюшка епстудэй охйовзес приколдесно обезьяньянога","Забавно звучат"
"2020/11/08 7:57:34 PM GMT+3","23-35","Дуршлаг кокотница ","Смешной набор звуков"
"2020/11/08 8:00:42 PM GMT+3","16-18","морковочка глазок хренюшка вша плинтус ","какие-то внезапно уменьшительно-ласкательные/ просто нелепые "
"2020/11/08 8:11:12 PM GMT+3","19-22","бройлер кукиш дроссель мымра жупел","звуковые ассоциации."
"2020/11/08 8:12:34 PM GMT+3","19-22","ржомба петрило колыван ","Ассоциируются с мемами"
"2020/11/08 8:19:28 PM GMT+3","19-22","дом, крым, брокколи ","звуки смешные "
"2020/11/08 8:21:38 PM GMT+3","19-22","крыжовник кулебяка инжир гопак закопушка полба","Необычное сочетание звуков и/или напоминают другие слова"
"2020/11/08 8:27:33 PM GMT+3","19-22","селезень хрюндель фунфырик пузо побрякушка обмудок дурачина скряга коряга вонючка колдырь тюфяк","может быть, слова с буквой ы смешные (колдырь смешнее, чем колдун, фунфырик смешнее чем фанфары); некоторые, наверное, смешны из-за мягких согласных, особенно если их несколько; в слове ""обмудок"" вот прекрасный циркумфикс. семантика тоже как-то влияет, видимо, потому что это, в основном, не очень высокий штиль... а вообще есть много смешных иностранных слов (но это, кажется, предсказуемо), а эти все как будто такие исконные-посконные, и это тоже почему-то смешно"
"2020/11/08 8:28:00 PM GMT+3","19-22","Гваделупа драндулет тарантайка писька ","нет ответа "
"2020/11/08 8:33:54 PM GMT+3","16-18","буча чача канючить ебасос заклёпка клячка рябь халва кусок лизать мокнуть","потому что я глупенькая (прости лилза я устала и не могу думать над адекватными объяснениями кстати люблю паша привет)"
"2020/11/08 8:38:05 PM GMT+3","19-22","квакша чеплашка куролесить ","шипящие звуки и малый обиход в речи"
"2020/11/08 8:44:04 PM GMT+3","19-22","Кекать ","Кек это смешно "
"2020/11/08 8:45:21 PM GMT+3","16-18","пипидастр кандибобер антрекот","не знаю... "
"2020/11/08 8:56:11 PM GMT+3","23-35","Слово слово слово слово слово ","Не кажутся смешными "
"2020/11/08 9:02:33 PM GMT+3","19-22","шелушка каракатица демократия сосиська труповозка буханка сосна кирка пермутация хорёк хорь ёршик чушка","ойййййй... просто хих их их хиххяхя
наверное, часто дело в аллитерации или в менее часто встречающихся комбинациях фонем (можете посмотреть на слоги, наверное, мало ли дело в них)
например, слово хорь смешное, потому что короткое и поэтому такое как бы гордое, и фонемы отличаются сильно (потому что вот корь не смешно для меня звучит, а хорь даааа хихихи)"
"2020/11/08 9:04:38 PM GMT+3","16-18","козявкакукусик","они милые и вызывают улыбку "
"2020/11/08 9:04:59 PM GMT+3","16-18","какая","странное сочетание повторяющихся слогов"
"2020/11/08 9:05:23 PM GMT+3","36-50","Сосиска жбан обечайка флексикокинг брюква тыква свекла репа огрызок закорючка вьюк коклюш фельдфебель кума золовка ","Не знаю"
"2020/11/08 9:06:26 PM GMT+3","23-35","я нихуя не понял, сорян ","пиздец "
"2020/11/08 9:09:04 PM GMT+3","23-35","нортумбрия миндальничать барбариска кисет жулик блогерка маклер чупрун  нунчаки поп попадья дьякон сисязавр полицейский гардемарин мандарин нектарин выхухоль зяблик вимблдон клейстер кочерга мандат козявка сюзерен зельц топинамбур уругвай  зимбабве босой тик-ток донат шимпанзе симпозиум конфиденциальность цымбала урюк бурак козинак анонимус сыктывкар драже мармышка абажур кракелюр бамбук бугурт люминесцентный бихевиоризм  падучая  картуз","иностранные, устаревшие, с уменьшительными суффиксами, связано с физиологией, чередование редких созвучий"
"2020/11/08 9:10:44 PM GMT+3","36-50","Престидиджижитатор гомеовокс","Могут быть перевраны в речи"
"2020/11/08 9:13:51 PM GMT+3","36-50","Клюква сляб клюв килька","Так звучат"
"2020/11/08 9:16:14 PM GMT+3","меньше 16","носорог вертолёт вертихвостка шутка мишутка ","по мемам"
"2020/11/08 9:18:10 PM GMT+3","19-22","эчпочмак дремлю чача синячить ихтиандр александр поножовщина шмалять долбить санитар дурка ебеня вахтовики вахтёры  шизик чикибряк бубылда чилипиздрик личинка черви подболотники подземельники караул кутёж ебалай ебака общажные панки дурной горбатый выкидыш кряхтение увлажнённый увлажнение выхухоль упыр лудить ","фонетические причины: звучат прикольно, находят отклик в душе, вызывают хаотически-добрые эмоции"
"2020/11/08 9:18:16 PM GMT+3","19-22","Пердимонокль крекер нерка кутёнок бдзёлка ","Много букв к"
